UY,UZ,Wx,Wy,Wz,,Wmag
34960.18576,-51057.041,4.868368305,-29.54638592,17.05318153,,34.46013539
34953.57715,-49861.04901,4.919338062,-29.87461048,17.81020981,,35.12685314
34929.06962,-48639.52928,4.972122021,-30.21584976,18.60076024,,35.82886903
34885.76175,-47391.83506,5.026995152,-30.57194692,19.42694039,,36.56939474
34822.67639,-46117.27933,5.084272929,-30.94501126,20.29105091,,37.35197853
34738.75152,-44815.13144,5.144318223,-31.33746329,21.1956084,,38.18055043
34632.82972,-43484.61343,5.207549594,-31.75208885,22.14337137,,39.05947535
34503.64586,-42124.8959,5.274451382,-32.19210491,23.13736997,,39.9936163
34349.81273,-40735.09354,5.345585912,-32.66123952,24.18093991,,40.98840947
34169.80415,-39314.26012,5.421608597,-33.16383009,25.2777613,,42.04995461
33961.93503,-37861.38301,5.503286503,-33.7049446,26.43190303,,43.18512418
33724.33757,-36375.37718,5.591521472,-34.29053241,27.64787339,,44.40169623
33454.93291,-34855.07861,5.687379129,-34.92761337,28.93067772,,45.70851748
33151.39685,-33299.23717,5.79212559,-35.62451668,30.28588351,,47.11570489
32811.11826,-31706.50902,5.907274209,-36.39118581,31.71969331,,48.63489732
32431.14816,-30075.44855,6.034645922,-37.23957092,33.23902493,,50.27957211
32008.13685,-28404.50026,6.176447675,-38.18413984,34.8515972,,52.06544793
31538.25552,-26691.99086,6.335375853,-39.24255049,36.56601697,,54.01100215
31017.09746,-24936.12258,6.514754042,-40.4365472,38.39185862,,56.1381437
30439.55223,-23134.96876,6.718719244,-41.79317127,40.33971862,,58.47309853
29799.64342,-21286.47438,6.952477179,-43.34642048,42.42121256,,61.04759113
29090.31641,-19388.46524,7.222657993,-45.13956033,44.64885293,,63.90044416
28303.15691,-17438.67297,7.537820637,-47.22840011,47.03569148,,67.07977929
27428.01129,-15434.78789,7.909181669,-49.68602548,49.5945044,,70.64609791
26452.46537,-13374.56143,8.351690397,-52.60977793,52.33608925,,74.67667443
25361.11493,-11255.99828,8.885650448,-56.131778,55.26581379,,79.27194623
24134.52287,-9077.713254,9.53922236,-60.43516208,58.37664654,,84.56499536
22747.69573,-6839.600404,10.35237514,-65.77971222,61.63488308,,90.73588608
21167.80929,-4544.114469,11.38324564,-72.54309348,64.95010804,,98.03364334
19350.75396,-2198.805144,12.71844392,-81.28766313,68.10954255,,106.8098908
17235.87046,178.4585236,14.48924968,-92.8654533,70.62786134,,117.5679615
14738.25728,2548.194881,16.89312257,-108.5575946,71.3875469,,131.0202686
11739.76521,4823.842956,20.1988035,-130.107546,67.75871468,,148.0783867
8090.79468,6814.462064,24.59763712,-158.7588157,53.63936967,,169.3711525
3683.137825,8119.688475,29.35282031,-189.7474678,17.54995225,,192.8047987
-1263.723267,8113.91102,21.81557934,-141.2404587,-34.86081224,,147.1056182
