SatVenus.ElapsedSecs,SatVenus.ElapsedDays,SatVenus.VenusMJ2000Eq.X,SatVenus.VenusMJ2000Eq.Y,SatVenus.VenusMJ2000Eq.Z,SatVenus.VenusMJ2000Eq.VX,SatVenus.VenusMJ2000Eq.VY,SatVenus.VenusMJ2000Eq.VZ,SatVenus.Venus.VelApoapsis,SatVenus.Venus.VelPeriapsis,SatVenus.Venus.RadPer,SatVenus.Venus.SMA,SatVenus.Venus.ECC,SatVenus.VenusMJ2000Eq.INC,SatVenus.VenusMJ2000Eq.RAAN,SatVenus.VenusMJ2000Eq.AOP,SatVenus.Venus.OrbitPeriod,SatVenus.Venus.TA
99186.28072,1.14798936,-5387.165038,34846.33998,-52322.03526,-0.005531577,0.035784235,1.926903418,0.771636763,8.531602426,8185.770539,49345.87419,0.834114388,90.0000167,98.78819918,99.98362982,120839.51,203.9927642
101886.2807,1.17923936,-5374.806767,34766.40916,-46863.64335,0.015453014,-0.099954644,2.119938845,0.771635071,8.531524679,8185.915033,49346.43207,0.834113335,90.00000732,98.78821235,99.98310749,120841.5593,206.9115784
104586.2807,1.21048936,-5298.713878,34274.21089,-40852.07732,0.04203628,-0.271908467,2.337824213,0.771633571,8.53144066,8186.070901,49347.01402,0.834112133,89.99999604,98.7882265,99.98255245,120843.6969,210.3470445
107286.2807,1.24173936,-5140.236031,33249.10606,-34209.50235,0.077114126,-0.498809067,2.589053202,0.771632056,8.531355526,8186.228834,49347.60328,0.834110913,89.99998311,98.78824067,99.98197808,120845.8615,214.5406007
109420.9772,1.266446495,-4937.816856,31939.76641,-28442.63555,0.11429776,-0.739330342,2.819328135,0.771630754,8.531291323,8186.348082,49348.05791,0.834110025,89.99997206,98.78825116,99.9815245,120847.5314,218.6689607
111230.9509,1.287395265,-4694.771971,30367.64064,-23141.61868,0.156272767,-1.01084378,3.043144396,0.771629574,8.531241685,8186.440434,49348.42054,0.834109373,89.99996243,98.78825903,99.98115328,120848.8635,223.0353699
112769.8675,1.305206799,-4419.397985,28586.39623,-18295.86136,0.203908617,-1.31897336,3.258633526,0.771628571,8.531204638,8186.509467,49348.69898,0.83410891,89.99995432,98.78826466,99.98085822,120849.8863,227.705548
114087.9932,1.320462884,-4116.367431,26626.25818,-13867.68343,0.258560589,-1.672485491,3.463293212,0.771627806,8.531177748,8186.559607,49348.90344,0.834108581,89.99994766,98.7882685,99.9806296,120850.6374,232.7839145
115232.1064,1.333704935,-3785.815142,24488.09937,-9797.396877,0.322487164,-2.08598882,3.653139569,0.771627332,8.531158678,8186.595107,49349.04409,0.834108335,89.99994229,98.78827096,99.98045666,120851.154,238.4461494
116228.6063,1.345238499,-3428.719664,22178.25017,-6074.302208,0.398117272,-2.575194474,3.817424309,0.771627197,8.531145647,8186.619198,49349.12808,0.834108129,89.99993807,98.78827237,99.98033131,120851.4625,244.8743168
117070.0383,1.354977296,-3059.03475,19786.96996,-2810.533817,0.485000906,-3.137191438,3.93382738,0.771627419,8.531137359,8186.634249,49349.16181,0.834107937,89.99993497,98.78827302,99.98024807,120851.5865,252.0292362
117727.6489,1.362588529,-2711.655225,17539.97324,-205.3511996,0.57556612,-3.723001369,3.978677453,0.771627912,8.531132591,8186.642588,49349.15791,0.834107755,89.99993292,98.78827319,99.98019979,120851.5721,259.3569084
118265.1761,1.368809908,-2377.607975,15379.21767,1928.057465,0.671166719,-4.341381188,3.943695858,0.771628594,8.53112973,8186.647249,49349.13079,0.83410757,89.99993153,98.78827312,99.9801723,120851.4725,267.0825463
118728.0819,1.374167615,-2043.846834,13220.31508,3727.420737,0.774535384,-5.010006761,3.808305118,0.771629432,8.531127922,8186.649838,49349.08769,0.834107372,89.99993056,98.78827293,99.98015753,120851.3142,275.5896083
119136.6773,1.378896728,-1705.364894,11030.87874,5234.738435,0.885535645,-5.727995111,3.538869675,0.771630387,8.531126737,8186.651178,49349.03344,0.834107163,89.9999299,98.78827269,99.98015105,120851.1149,285.1455676
119470.3654,1.382758859,-1392.726449,9008.610492,6355.137062,0.990213107,-6.405084164,3.143238286,0.771631317,8.531125983,8186.651746,49348.97832,0.834106966,89.9999295,98.78827246,99.98014977,120850.9124,294.9028674
119750.8679,1.386005415,-1101.773518,7126.61443,7168.979902,1.084816657,-7.017010437,2.626294445,0.771632184,8.531125455,8186.651955,49348.92595,0.834106786,89.99992926,98.78827226,99.98015087,120850.7201,304.8513177
120001.8575,1.388910388,-818.9041937,5296.907902,7750.378564,1.168288575,-7.556932105,1.973284676,0.771632992,8.531125041,8186.652006,49348.87669,0.834106619,89.99992912,98.7882721,99.98015297,120850.5391,315.3537443
120251.1946,1.391796234,-518.3228317,3352.634974,8140.039575,1.239756297,-8.019204578,1.116956104,0.771633774,8.531124677,8186.651987,49348.82877,0.834106458,89.99992903,98.78827195,99.98015554,120850.3631,327.3952896
120486.8385,1.394523594,-220.3971155,1425.541646,8289.469763,1.283924345,-8.304891671,0.125031526,0.771634431,8.531124383,8186.651949,49348.78842,0.834106323,89.999929,98.78827184,99.98015803,120850.2149,340.1484569
120722.008,1.397245463,83.37776844,-539.3842333,8190.092718,1.29287409,-8.362772986,-0.981670979,0.771634938,8.531124156,8186.65192,49348.75735,0.834106219,89.999929,98.78827176,99.98016043,120850.1007,353.8324118
120953.1617,1.399920853,379.3485629,-2453.82836,7835.507868,1.261247448,-8.158191483,-2.077492216,0.771635229,8.531124016,8186.651923,49348.73953,0.83410616,89.999929,98.78827172,99.98016288,120850.0353,7.602617018
121176.8659,1.402510022,654.7308765,-4235.096905,7260.765822,1.195802317,-7.734860732,-3.036617745,0.771635283,8.531123964,8186.65197,49348.73636,0.834106148,89.999929,98.78827172,99.98016572,120850.0236,20.56954501
121192.7841,1.40269426,673.72059,-4357.928899,7211.932168,1.190093443,-7.697933151,-3.098814019,0.771635278,8.531123964,8186.651975,49348.73668,0.834106149,89.999929,98.78827172,99.98016595,120850.0248,21.46332025
121252.7841,1.403388705,727.3684819,-4704.945554,7030.099506,0.882782889,-5.710202798,-3.143973168,4.895484569,6.792572275,8183.663796,9769.321738,0.162309932,89.99997538,98.78819588,81.94353199,10644.59896,42.16262993
121467.0718,1.405868886,907.0892443,-5867.453033,6274.960618,0.792057997,-5.123353855,-3.883571599,4.895484377,6.792572214,8183.664046,9769.322209,0.162309946,89.99997534,98.78819592,81.94355038,10644.59973,51.47196825
